stationId,pollutant,start_time,counts
aotizhongxin_aq,PM2.5,2017-01-03 18:00:00,1
aotizhongxin_aq,PM2.5,2017-01-09 04:00:00,1
aotizhongxin_aq,PM2.5,2017-01-23 15:00:00,1
aotizhongxin_aq,PM2.5,2017-01-23 17:00:00,1
aotizhongxin_aq,PM2.5,2017-01-24 00:00:00,1
aotizhongxin_aq,PM2.5,2017-01-24 04:00:00,1
aotizhongxin_aq,PM2.5,2017-01-24 09:00:00,1
aotizhongxin_aq,PM2.5,2017-01-24 12:00:00,4
aotizhongxin_aq,PM2.5,2017-01-25 01:00:00,1
aotizhongxin_aq,PM2.5,2017-01-25 06:00:00,1
aotizhongxin_aq,PM2.5,2017-01-25 13:00:00,7
aotizhongxin_aq,PM2.5,2017-01-25 23:00:00,1
aotizhongxin_aq,PM2.5,2017-01-26 04:00:00,2
aotizhongxin_aq,PM2.5,2017-01-26 08:00:00,12
aotizhongxin_aq,PM2.5,2017-01-27 05:00:00,2
aotizhongxin_aq,PM2.5,2017-02-01 10:00:00,17
aotizhongxin_aq,PM2.5,2017-02-05 21:00:00,1
aotizhongxin_aq,PM2.5,2017-02-06 15:00:00,2
aotizhongxin_aq,PM2.5,2017-02-06 20:00:00,2
aotizhongxin_aq,PM2.5,2017-02-06 23:00:00,1
aotizhongxin_aq,PM2.5,2017-02-07 10:00:00,2
aotizhongxin_aq,PM2.5,2017-02-07 14:00:00,1
aotizhongxin_aq,PM2.5,2017-02-08 05:00:00,1
aotizhongxin_aq,PM2.5,2017-02-08 10:00:00,1
aotizhongxin_aq,PM2.5,2017-02-08 15:00:00,10
aotizhongxin_aq,PM2.5,2017-02-09 03:00:00,1
aotizhongxin_aq,PM2.5,2017-02-09 05:00:00,2
aotizhongxin_aq,PM2.5,2017-02-15 06:00:00,5
aotizhongxin_aq,PM2.5,2017-02-15 16:00:00,7
aotizhongxin_aq,PM2.5,2017-02-19 04:00:00,1
aotizhongxin_aq,PM2.5,2017-02-19 16:00:00,1
aotizhongxin_aq,PM2.5,2017-02-19 18:00:00,1
aotizhongxin_aq,PM2.5,2017-02-19 21:00:00,1
aotizhongxin_aq,PM2.5,2017-02-20 04:00:00,1
aotizhongxin_aq,PM2.5,2017-02-20 07:00:00,2
aotizhongxin_aq,PM2.5,2017-02-20 10:00:00,1
aotizhongxin_aq,PM2.5,2017-02-20 16:00:00,1
aotizhongxin_aq,PM2.5,2017-02-20 20:00:00,2
aotizhongxin_aq,PM2.5,2017-02-20 23:00:00,2
aotizhongxin_aq,PM2.5,2017-02-21 03:00:00,1
aotizhongxin_aq,PM2.5,2017-02-21 05:00:00,1
aotizhongxin_aq,PM2.5,2017-02-27 04:00:00,2
aotizhongxin_aq,PM2.5,2017-03-07 01:00:00,1
aotizhongxin_aq,PM2.5,2017-03-07 03:00:00,1
aotizhongxin_aq,PM2.5,2017-03-08 20:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 02:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 04:00:00,2
aotizhongxin_aq,PM2.5,2017-03-09 07:00:00,3
aotizhongxin_aq,PM2.5,2017-03-09 11:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 14:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 16:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 20:00:00,1
aotizhongxin_aq,PM2.5,2017-03-09 22:00:00,2
aotizhongxin_aq,PM2.5,2017-03-10 03:00:00,1
aotizhongxin_aq,PM2.5,2017-03-10 05:00:00,1
aotizhongxin_aq,PM2.5,2017-03-10 09:00:00,1
aotizhongxin_aq,PM2.5,2017-03-10 11:00:00,2
aotizhongxin_aq,PM2.5,2017-03-10 17:00:00,1
